Date	Name	URL
"June 3rd, 2007"	"Democratic Candidates Debate in Manchester, New Hampshire"	http://www.presidency.ucsb.edu/ws/index.php?pid=75140
"April 26th, 2007"	"Democratic Candidates Debate in Orangeburg, South Carolina"	http://www.presidency.ucsb.edu/ws/index.php?pid=74349
"January 30th, 2008"	"Republican Candidates Debate in Simi Valley, California"	http://www.presidency.ucsb.edu/ws/index.php?pid=76338
"January 24th, 2008"	"Republican Candidates Debate in Boca Raton, Florida"	http://www.presidency.ucsb.edu/ws/index.php?pid=76300
"January 10th, 2008"	"Republican Candidates Debate in Myrtle Beach, South Carolina"	http://www.presidency.ucsb.edu/ws/index.php?pid=62265
"January 6th, 2008"	"Republican Candidates Forum in Milford, New Hampshire"	http://www.presidency.ucsb.edu/ws/index.php?pid=29427
"January 5th, 2008"	"Republican Candidates Debate in Manchester, New Hampshire"	http://www.presidency.ucsb.edu/ws/index.php?pid=76223
"December 12th, 2007"	"Republican Candidates Debate in Johnston, Iowa"	http://www.presidency.ucsb.edu/ws/index.php?pid=29664
"December 9th, 2007"	"Republican Candidates Debate in Miami, Florida"	http://www.presidency.ucsb.edu/ws/index.php?pid=76562
"November 28th, 2007"	"Republican Candidates Debate in St. Petersburg, Florida"	http://www.presidency.ucsb.edu/ws/index.php?pid=76069
"October 21st, 2007"	"Republican Candidates Debate in Orlando, Florida"	http://www.presidency.ucsb.edu/ws/index.php?pid=75914
"October 9th, 2007"	"Republican Candidates Debate in Dearborn, Michigan"	http://www.presidency.ucsb.edu/ws/index.php?pid=75861
"September 27th, 2007"	"Republican Candidates Forum in Baltimore, Maryland"	http://www.presidency.ucsb.edu/ws/index.php?pid=75913
"September 5th, 2007"	"Republican Candidates Debate in Durham, New Hampshire"	http://www.presidency.ucsb.edu/ws/index.php?pid=75680
"August 5th, 2007"	"Republican Candidates Debate in Des Monies, Iowa"	http://www.presidency.ucsb.edu/ws/index.php?pid=75630
"June 5th, 2007"	"Republican Candidates Debate in Manchester, New Hampshire"	http://www.presidency.ucsb.edu/ws/index.php?pid=75171
"May 15th, 2007"	"Republican Candidates Debate in Columbia, South Carolina"	http://www.presidency.ucsb.edu/ws/index.php?pid=74348
"May 3rd, 2007"	"Republican Candidates Debate in Simi Valley, California"	http://www.presidency.ucsb.edu/ws/index.php?pid=74350
"January 29th, 2004"	"Democratic Candidates Debate in Greenville, South Carolina"	http://www.presidency.ucsb.edu/ws/index.php?pid=75118
"January 22nd, 2004"	"Democratic Candidates Debate in Manchester, New Hampshire"	http://www.presidency.ucsb.edu/ws/index.php?pid=74351
"March 1st, 2000"	"Democratic Candidates Debate in Los Angeles, California"	http://www.presidency.ucsb.edu/ws/index.php?pid=105446
"February 21st, 2000"	Democratic Candidates Debate in New York City	http://www.presidency.ucsb.edu/ws/index.php?pid=105445
"January 26th, 2000"	"Democratic Candidates Debate in Manchester, New Hampshire"	http://www.presidency.ucsb.edu/ws/index.php?pid=105444
"January 17th, 2000"	"Democratic Candidates Black-Brown Forum in Des Moines, Iowa"	http://www.presidency.ucsb.edu/ws/index.php?pid=105449
"January 8th, 2000"	"Democratic Candidates Debate in Des Moines, Iowa"	http://www.presidency.ucsb.edu/ws/index.php?pid=105448
"December 19th, 1999"	"Democratic Candidates Debate on NBC News ""Meet the Press"""	http://www.presidency.ucsb.edu/ws/index.php?pid=109919
"December 17th, 1999"	"Democratic Candidates Town Hall in Nashua, New Hampshire"	http://www.presidency.ucsb.edu/ws/index.php?pid=105447
"October 27th, 1999"	"Democratic Candidates Town Hall in Hanover, New Hampshire"	http://www.presidency.ucsb.edu/ws/index.php?pid=105443
"March 2nd, 2000"	"Republican Candidates Debate in Los Angeles, California"	http://www.presidency.ucsb.edu/ws/index.php?pid=105442
"February 15th, 2000"	"Republican Candidates Debate in Columbia, South Carolina"	http://www.presidency.ucsb.edu/ws/index.php?pid=105441
"January 26th, 2000"	"Republican Candidates Debate in Manchester, New Hampshire"	http://www.presidency.ucsb.edu/ws/index.php?pid=105440
"January 15th, 2000"	"Republican Candidates Debate in Johnston, Iowa"	http://www.presidency.ucsb.edu/ws/index.php?pid=105439
"January 10th, 2000"	"Republican Candidates Debate in Grand Rapids, Michigan"	http://www.presidency.ucsb.edu/ws/index.php?pid=105438
"January 7th, 2000"	"Republican Candidates Debate in Columbia, South Carolina"	http://www.presidency.ucsb.edu/ws/index.php?pid=105437
"December 13th, 1999"	"Republican Candidates Debate in Des Monies, Iowa"	http://www.presidency.ucsb.edu/ws/index.php?pid=76120
"December 6th, 1999"	"Republican Candidates Debate in Phoenix, Arizona"	http://www.presidency.ucsb.edu/ws/index.php?pid=75089
"December 2nd, 1999"	"Republican Candidates Debate in Manchester, New Hampshire"	http://www.presidency.ucsb.edu/ws/index.php?pid=105436
"October 28th, 1999"	"Republican Candidates Town Hall in Hanover, New Hampshire"	http://www.presidency.ucsb.edu/ws/index.php?pid=105435
"October 22nd, 1999"	"Republican Candidates Forum in Durham, New Hampshire"	http://www.presidency.ucsb.edu/ws/index.php?pid=75090
